question_id,TBS,QBS,tradeduration,SumofPrevious,questionduration,DaystoClose,categoryid
853,0.179999988,0.00046,0.270138889,82.22986109,103.93976,21.70989891,4
853,0.096799991,1.00E-05,0.013194444,82.24305553,103.93976,21.69670447,4
853,0.125000015,6.00E-05,0.050694444,82.29374998,103.93976,21.64601002,4
853,0.096800048,7.00E-05,0.075694444,82.36944442,103.93976,21.57031558,4
853,0.31999984,0.00029,0.097916667,82.46736109,103.93976,21.47239891,4
853,0.245000014,0.00141,0.614583333,83.08194442,103.93976,20.85781558,4
853,0.288800061,0.00037,0.136111111,83.21805553,103.93976,20.72170447,4
853,0.32,0.00177,0.592361111,83.81041664,103.93976,20.12934336,4
853,0.2592,0.0003,0.122222222,83.93263886,103.93976,20.00712114,4
853,0.288799977,8.00E-05,0.029166667,83.96180553,103.93976,19.97795447,4
853,0.259199986,2.00E-05,0.009722222,83.97152775,103.93976,19.96823225,4
853,0.096799987,0.00011,0.116666667,84.08819442,103.93976,19.85156558,4
853,0.1352,0.00061,0.479166667,84.56736109,103.93976,19.37239891,4
853,0.18,0.00084,0.5,85.06736109,103.93976,18.87239891,4
853,0.0968,0,0.000694444,85.06805553,103.93976,18.87170447,4
853,0.1568,0,0.001388889,85.06944442,103.93976,18.87031558,4
853,0.096799943,0.00075,0.825,85.89444442,103.93976,18.04531558,4
853,0.12500006,0.00039,0.335416667,86.22986109,103.93976,17.70989891,4
853,0.434311441,1.00E-05,0.003472222,86.23333331,103.93976,17.70642669,4
853,0.304199969,4.00E-05,0.014583333,86.24791664,103.93976,17.69184336,4
853,0.17405,0,0.001388889,86.24930553,103.93976,17.69045447,4
853,0.096800004,0,0.000694444,86.24999997,103.93976,17.68976003,4
853,0.156800017,1.00E-05,0.003472222,86.2534722,103.93976,17.6862878,4
853,0.115199976,0,0.002083333,86.25555553,103.93976,17.68420447,4
853,0.115199976,0.00015,0.139583333,86.39513886,103.93976,17.54462114,4
853,0.096800026,2.00E-05,0.017361111,86.41249997,103.93976,17.52726003,4
853,0.180000084,0,0.002777778,86.41527775,103.93976,17.52448225,4
853,0.15679991,1.00E-05,0.007638889,86.42291664,103.93976,17.51684336,4
853,0.102237735,0,0.002777778,86.42569442,103.93976,17.51406558,4
853,0.102237735,0,0,86.42569442,103.93976,17.51406558,4
853,0.125000015,0,0.002083333,86.42777775,103.93976,17.51198225,4
853,0.08,0,0.000694444,86.4284722,103.93976,17.5112878,4
853,0.115199976,0.00018,0.1625,86.5909722,103.93976,17.3487878,4
853,0.096800026,0,0.003472222,86.59444442,103.93976,17.34531558,4
853,0.033800023,0,0.000694444,86.59513886,103.93976,17.34462114,4
853,0.064799996,1.00E-05,0.015972222,86.61111108,103.93976,17.32864892,4
853,0.096799991,0,0,86.61111108,103.93976,17.32864892,4
853,0.125,0,0.002777778,86.61388886,103.93976,17.32587114,4
853,0.101250005,0,0.004166667,86.61805553,103.93976,17.32170447,4
853,0.12500003,0,0.000694444,86.61874997,103.93976,17.32101003,4
853,0.105799982,0,0,86.61874997,103.93976,17.32101003,4
853,0.088200059,2.00E-05,0.029166667,86.64791664,103.93976,17.29184336,4
853,0.720000024,0.00184,0.273611111,86.92152775,103.93976,17.01823225,4
853,0.08,5.00E-05,0.065277778,86.98680553,103.93976,16.95295447,4
853,0.0072,0,0.025,87.01180553,103.93976,16.92795447,4
853,0.028800001,0,0.004861111,87.01666664,103.93976,16.92309336,4
