"user_id","user_role_id","created_at","updated_at"
69,14,"2014-02-24 14:20:17.741504","2014-02-24 14:20:17.741504"
110,14,"2014-02-24 14:20:29.753948","2014-02-24 14:20:29.753948"
159,14,"2014-02-24 14:20:42.773784","2014-02-24 14:20:42.773784"
185,14,"2014-02-24 14:21:00.062506","2014-02-24 14:21:00.062506"
1989,131,"2014-06-05 10:34:31.963489","2014-06-05 10:34:31.963489"
229,14,"2014-02-24 14:21:42.366179","2014-02-24 14:21:42.366179"
241,14,"2014-02-24 14:21:52.86809","2014-02-24 14:21:52.86809"
273,14,"2014-02-24 14:22:12.076249","2014-02-24 14:22:12.076249"
366,14,"2014-02-24 14:22:31.38098","2014-02-24 14:22:31.38098"
433,14,"2014-02-24 14:22:42.296312","2014-02-24 14:22:42.296312"
483,14,"2014-02-24 14:22:53.445714","2014-02-24 14:22:53.445714"
522,14,"2014-02-24 14:23:02.670329","2014-02-24 14:23:02.670329"
538,14,"2014-02-24 14:23:16.652722","2014-02-24 14:23:16.652722"
574,14,"2014-02-24 14:23:27.150009","2014-02-24 14:23:27.150009"
627,14,"2014-02-24 14:24:05.75085","2014-02-24 14:24:05.75085"
660,14,"2014-02-24 14:24:24.505455","2014-02-24 14:24:24.505455"
690,14,"2014-02-24 14:24:33.226519","2014-02-24 14:24:33.226519"
698,14,"2014-02-24 14:24:41.754591","2014-02-24 14:24:41.754591"
709,14,"2014-02-24 14:24:50.816079","2014-02-24 14:24:50.816079"
721,14,"2014-02-24 14:24:59.281269","2014-02-24 14:24:59.281269"
755,14,"2014-02-24 14:25:08.482957","2014-02-24 14:25:08.482957"
784,14,"2014-02-24 14:25:19.910108","2014-02-24 14:25:19.910108"
804,14,"2014-02-24 14:25:32.086046","2014-02-24 14:25:32.086046"
2019,131,"2014-06-05 10:35:43.034686","2014-06-05 10:35:43.034686"
868,14,"2014-02-24 14:25:51.874455","2014-02-24 14:25:51.874455"
897,14,"2014-02-24 14:26:06.924546","2014-02-24 14:26:06.924546"
904,14,"2014-02-24 14:26:32.3317","2014-02-24 14:26:32.3317"
2045,131,"2014-06-05 10:39:02.771951","2014-06-05 10:39:02.771951"
1024,14,"2014-02-24 14:27:05.645954","2014-02-24 14:27:05.645954"
1029,14,"2014-02-24 14:27:22.154149","2014-02-24 14:27:22.154149"
2054,131,"2014-06-05 10:41:19.727393","2014-06-05 10:41:19.727393"
1052,14,"2014-02-24 14:27:38.245474","2014-02-24 14:27:38.245474"
