"user_id","user_role_id","updated_at","created_at"
5757,3,"2014-06-22 08:15:24.360498","2014-06-22 08:15:24.360498"
5761,3,"2014-06-22 08:18:37.915522","2014-06-22 08:18:37.915522"
5764,3,"2014-06-22 08:20:20.574507","2014-06-22 08:20:20.574507"
5765,3,"2014-06-22 08:20:38.131773","2014-06-22 08:20:38.131773"
5772,3,"2014-06-22 08:30:23.926247","2014-06-22 08:30:23.926247"
5774,3,"2014-06-22 08:32:26.611271","2014-06-22 08:32:26.611271"
5782,3,"2014-06-22 08:41:56.950581","2014-06-22 08:41:56.950581"
5784,3,"2014-06-22 08:46:32.587511","2014-06-22 08:46:32.587511"
5788,3,"2014-06-22 08:49:06.648111","2014-06-22 08:49:06.648111"
5790,3,"2014-06-22 08:54:16.050456","2014-06-22 08:54:16.050456"
5793,3,"2014-06-22 08:56:29.936958","2014-06-22 08:56:29.936958"
5797,3,"2014-06-22 09:09:15.046268","2014-06-22 09:09:15.046268"
5806,3,"2014-06-22 09:20:38.400629","2014-06-22 09:20:38.400629"
5808,3,"2014-06-22 09:21:40.353804","2014-06-22 09:21:40.353804"
5810,3,"2014-06-22 09:22:31.183996","2014-06-22 09:22:31.183996"
5816,3,"2014-06-22 09:26:26.581094","2014-06-22 09:26:26.581094"
5820,3,"2014-06-22 09:31:17.273936","2014-06-22 09:31:17.273936"
5823,3,"2014-06-22 09:36:35.346858","2014-06-22 09:36:35.346858"
5829,3,"2014-06-22 09:44:04.555173","2014-06-22 09:44:04.555173"
5832,3,"2014-06-22 09:47:03.600528","2014-06-22 09:47:03.600528"
5834,3,"2014-06-22 09:48:42.229392","2014-06-22 09:48:42.229392"
5837,3,"2014-06-22 09:50:24.30958","2014-06-22 09:50:24.30958"
5842,3,"2014-06-22 09:53:47.033472","2014-06-22 09:53:47.033472"
5846,3,"2014-06-22 10:00:32.462122","2014-06-22 10:00:32.462122"
5847,3,"2014-06-22 10:01:09.187106","2014-06-22 10:01:09.187106"
5860,3,"2014-06-22 10:14:36.342851","2014-06-22 10:14:36.342851"
5863,3,"2014-06-22 10:18:01.891828","2014-06-22 10:18:01.891828"
5864,3,"2014-06-22 10:18:11.260985","2014-06-22 10:18:11.260985"
5867,3,"2014-06-22 10:20:24.9371","2014-06-22 10:20:24.9371"
5869,3,"2014-06-22 10:21:14.895456","2014-06-22 10:21:14.895456"
5872,3,"2014-06-22 10:24:55.016968","2014-06-22 10:24:55.016968"
5873,3,"2014-06-22 10:25:10.569994","2014-06-22 10:25:10.569994"
5877,3,"2014-06-22 10:28:35.035181","2014-06-22 10:28:35.035181"
5878,3,"2014-06-22 10:29:59.919249","2014-06-22 10:29:59.919249"
5881,3,"2014-06-22 10:31:05.971843","2014-06-22 10:31:05.971843"
5885,3,"2014-06-22 10:40:09.183097","2014-06-22 10:40:09.183097"
5887,3,"2014-06-22 10:43:59.013604","2014-06-22 10:43:59.013604"
5888,3,"2014-06-22 10:44:15.357884","2014-06-22 10:44:15.357884"
5889,3,"2014-06-22 10:46:06.342337","2014-06-22 10:46:06.342337"
5890,3,"2014-06-22 10:46:42.510098","2014-06-22 10:46:42.510098"
5894,3,"2014-06-22 10:50:52.870017","2014-06-22 10:50:52.870017"
5902,3,"2014-06-22 10:57:04.586962","2014-06-22 10:57:04.586962"
5907,3,"2014-06-22 11:07:29.158194","2014-06-22 11:07:29.158194"
5912,3,"2014-06-22 11:10:33.163216","2014-06-22 11:10:33.163216"
5921,3,"2014-06-22 11:21:02.656534","2014-06-22 11:21:02.656534"
5923,3,"2014-06-22 11:26:31.655182","2014-06-22 11:26:31.655182"
5927,3,"2014-06-22 11:30:35.57913","2014-06-22 11:30:35.57913"
5930,3,"2014-06-22 11:38:57.565845","2014-06-22 11:38:57.565845"
5938,3,"2014-06-22 11:52:08.350768","2014-06-22 11:52:08.350768"
5944,3,"2014-06-22 12:02:41.671947","2014-06-22 12:02:41.671947"
5949,3,"2014-06-22 12:07:13.337434","2014-06-22 12:07:13.337434"
5957,3,"2014-06-22 12:23:24.964211","2014-06-22 12:23:24.964211"
5969,3,"2014-06-22 12:33:09.830132","2014-06-22 12:33:09.830132"
5982,3,"2014-06-22 12:47:37.10418","2014-06-22 12:47:37.10418"
5983,3,"2014-06-22 12:48:54.030309","2014-06-22 12:48:54.030309"
5986,3,"2014-06-22 12:50:46.106578","2014-06-22 12:50:46.106578"
5987,3,"2014-06-22 12:52:58.235945","2014-06-22 12:52:58.235945"
5991,3,"2014-06-22 12:57:34.542948","2014-06-22 12:57:34.542948"
5992,3,"2014-06-22 12:58:02.034843","2014-06-22 12:58:02.034843"
6000,3,"2014-06-22 13:13:25.731184","2014-06-22 13:13:25.731184"
6005,3,"2014-06-22 13:21:21.055561","2014-06-22 13:21:21.055561"
6010,3,"2014-06-22 13:25:53.297066","2014-06-22 13:25:53.297066"
6019,3,"2014-06-22 13:39:10.569544","2014-06-22 13:39:10.569544"
6020,3,"2014-06-22 13:40:14.289652","2014-06-22 13:40:14.289652"
6032,3,"2014-06-22 13:54:22.072909","2014-06-22 13:54:22.072909"
6036,3,"2014-06-22 14:00:51.210033","2014-06-22 14:00:51.210033"
6037,3,"2014-06-22 14:02:53.1001","2014-06-22 14:02:53.1001"
6040,3,"2014-06-22 14:05:49.33274","2014-06-22 14:05:49.33274"
6045,3,"2014-06-22 14:08:56.378226","2014-06-22 14:08:56.378226"
6051,3,"2014-06-22 14:23:17.603532","2014-06-22 14:23:17.603532"
6061,3,"2014-06-22 14:38:23.712251","2014-06-22 14:38:23.712251"
6064,3,"2014-06-22 14:39:13.407815","2014-06-22 14:39:13.407815"
6070,3,"2014-06-22 14:43:11.940438","2014-06-22 14:43:11.940438"
6075,3,"2014-06-22 14:47:43.116659","2014-06-22 14:47:43.116659"
6077,3,"2014-06-22 14:51:10.603529","2014-06-22 14:51:10.603529"
6079,3,"2014-06-22 14:55:29.192393","2014-06-22 14:55:29.192393"
6084,3,"2014-06-22 14:59:27.741459","2014-06-22 14:59:27.741459"
6085,3,"2014-06-22 15:05:55.41665","2014-06-22 15:05:55.41665"
6096,3,"2014-06-22 15:20:01.299101","2014-06-22 15:20:01.299101"
6099,3,"2014-06-22 15:24:01.762006","2014-06-22 15:24:01.762006"
6100,3,"2014-06-22 15:24:18.040652","2014-06-22 15:24:18.040652"
