"id","user_id","type","per_trade_limit","total_budget","target","is_power_mode","is_active","start_date","end_date","created_at","updated_at"
112,8854,"recurring","100",NULL,NULL,False,True,"2014-07-11 04:44:58.408101","2014-07-18 04:44:58.408101","2014-07-11 04:44:58.395573","2014-07-11 04:44:58.395573"
113,8888,"recurring","100",NULL,NULL,False,True,"2014-07-11 06:24:04.153646","2014-07-18 06:24:04.153646","2014-07-11 06:24:04.141206","2014-07-11 06:24:04.141206"
114,7129,"recurring","100",NULL,NULL,False,True,"2014-07-11 22:02:31.555412","2014-07-18 22:02:31.555412","2014-07-11 22:02:31.52654","2014-07-11 22:02:31.52654"
115,7129,"recurring","100",NULL,NULL,False,True,"2014-07-11 22:04:21.135907","2014-07-18 22:04:21.135907","2014-07-11 22:04:21.105718","2014-07-11 22:04:21.105718"
116,7129,"recurring","100",NULL,NULL,False,True,"2014-07-11 22:05:29.979876","2014-07-18 22:05:29.979876","2014-07-11 22:05:29.949972","2014-07-11 22:05:29.949972"
141,8920,"recurring",NULL,"286.249647625",NULL,True,False,"2014-07-17 11:03:30.273392",NULL,"2014-07-17 11:03:30.250388","2014-07-17 11:03:30.250388"
117,7129,"recurring","100",NULL,NULL,False,True,"2014-07-12 20:50:02.343019","2014-07-19 20:50:02.343019","2014-07-12 20:50:02.31249","2014-07-12 20:50:02.31249"
118,7129,"recurring","100",NULL,NULL,False,True,"2014-07-12 20:50:57.79656","2014-07-19 20:50:57.79656","2014-07-12 20:50:57.765123","2014-07-12 20:50:57.765123"
132,8920,"recurring",NULL,"120.5142828881",NULL,True,False,"2014-07-15 01:00:33.914949",NULL,"2014-07-15 01:00:33.886162","2014-07-15 01:00:33.886162"
20,5122,"recurring",NULL,"85.867312572",NULL,True,False,"2014-07-09 13:05:10.125115",NULL,"2014-07-09 13:05:10.112244","2014-07-09 13:05:10.112244"
119,7129,"recurring","100",NULL,NULL,False,True,"2014-07-13 15:14:18.079995","2014-07-20 15:14:18.079995","2014-07-13 15:14:18.047669","2014-07-13 15:14:18.047669"
129,7129,"recurring","100",NULL,NULL,False,True,"2014-07-14 18:40:02.33181","2014-07-21 18:40:02.33181","2014-07-14 18:40:02.297719","2014-07-14 18:40:02.297719"
128,8920,"recurring",NULL,"294.82087050841",NULL,True,False,"2014-07-14 00:59:07.069842",NULL,"2014-07-14 00:59:07.049226","2014-07-14 00:59:07.049226"
131,8920,"recurring",NULL,"53.125883816",NULL,True,False,"2014-07-15 00:59:27.597906",NULL,"2014-07-15 00:59:27.576853","2014-07-15 00:59:27.576853"
125,8920,"recurring",NULL,"81.377995056",NULL,True,False,"2014-07-14 00:53:28.787231",NULL,"2014-07-14 00:53:28.769936","2014-07-14 00:53:28.769936"
126,8920,"recurring",NULL,"197.773231835",NULL,True,False,"2014-07-14 00:55:54.344256",NULL,"2014-07-14 00:55:54.326526","2014-07-14 00:55:54.326526"
133,8925,"recurring","100",NULL,NULL,False,True,"2014-07-15 15:33:53.950957","2014-07-22 15:33:53.950957","2014-07-15 15:33:53.93782","2014-07-15 15:33:53.93782"
134,1354,"recurring","100",NULL,NULL,False,True,"2014-07-15 15:41:42.787676","2014-07-22 15:41:42.787676","2014-07-15 15:41:42.775175","2014-07-15 15:41:42.775175"
120,8920,"recurring",NULL,"300",NULL,True,False,"2014-07-14 00:44:24.421097",NULL,"2014-07-14 00:44:24.408267","2014-07-14 00:44:24.408267"
124,8920,"recurring",NULL,"278.77489634247",NULL,True,False,"2014-07-14 00:52:01.735314",NULL,"2014-07-14 00:52:01.712242","2014-07-14 00:52:01.712242"
